X,dXdt,Phi,Temp_K,,,,
0.71906822,2.9145418E+03,5.000000 ,572.370704,,,,
0.72666509,2.7172982E+03,5.000000 ,572.139247,,,,
0.73376614,2.5449815E+03,5.000000 ,571.917975,,,,
0.74043223,2.3961276E+03,5.000000 ,571.686875,,,,
0.74672235,2.2642282E+03,5.000000 ,571.4659,,,,
0.75266422,2.1388154E+03,5.000000 ,571.234974,,,,
0.75828541,2.0290001E+03,5.000000 ,571.014163,,,,
0.76364021,1.9390568E+03,5.000000 ,570.793498,,,,
0.76875651,1.8515388E+03,5.000000 ,570.562851,,,,
0.77364086,1.7671428E+03,5.000000 ,570.332227,,,,
0.77832809,1.7044599E+03,5.000000 ,570.111763,,,,
0.78284221,1.6394968E+03,5.000000 ,569.881283,,,,
0.7871846,1.5768921E+03,5.000000 ,569.66082,,,,
0.79135605,1.5133314E+03,5.000000 ,569.44035,,,,
0.79536347,1.4551397E+03,5.000000 ,569.209919,,,,
0.79922258,1.4046801E+03,5.000000 ,568.979545,,,,
0.80294964,1.3552943E+03,5.000000 ,568.75918,,,,
0.80654268,1.3064523E+03,5.000000 ,568.538819,,,,
0.80999907,1.2516383E+03,5.000000 ,568.308413,,,,
0.81329636,1.2021252E+03,5.000000 ,568.088046,,,,
0.81651022,1.1785361E+03,5.000000 ,567.857871,,,,
0.81965993,1.1543987E+03,5.000000 ,567.627692,,,,
0.8227406,1.1271624E+03,5.000000 ,567.40749,,,,
0.82574739,1.1002482E+03,5.000000 ,567.17729,,,,
0.82868251,1.0738120E+03,5.000000 ,566.957094,,,,
0.83154532,1.0467054E+03,5.000000 ,566.726892,,,,
0.83433458,1.0194647E+03,5.000000 ,566.50669,,,,
0.83705089,9.9280261E+02,5.000000 ,566.276492,,,,
0.83969652,9.6705997E+02,5.000000 ,566.056301,,,,
0.84227322,9.4171612E+02,5.000000 ,565.826113,,,,
0.84478353,9.1835857E+02,5.000000 ,565.60594,,,,
0.84723308,8.9618593E+02,5.000000 ,565.375775,,,,
0.84962388,8.7501916E+02,5.000000 ,565.155618,,,,
0.85195904,8.5493505E+02,5.000000 ,564.925468,,,,
0.85424195,8.3628737E+02,5.000000 ,564.705329,,,,
0.8564758,8.1863215E+02,5.000000 ,564.475198,,,,
0.8586636,8.0200634E+02,5.000000 ,564.255074,,,,
0.86080698,7.8585647E+02,5.000000 ,564.034954,,,,
0.86290767,7.7026725E+02,5.000000 ,563.804838,,,,
0.86496656,7.5494041E+02,5.000000 ,563.574724,,,,
0.86698508,7.4034367E+02,5.000000 ,563.354615,,,,
0.8689646,7.2604256E+02,5.000000 ,563.124508,,,,
0.87090578,7.1190539E+02,5.000000 ,562.904403,,,,
0.87280925,6.9823146E+02,5.000000 ,562.684301,,,,
0.87467679,6.8516703E+02,5.000000 ,562.454203,,,,
0.87650934,6.7228942E+02,5.000000 ,562.234107,,,,
0.87830758,6.5979332E+02,5.000000 ,562.004014,,,,
0.88007223,6.4732149E+02,5.000000 ,561.783921,,,,
0.88180291,6.3464887E+02,5.000000 ,561.553826,,,,
0.88349914,6.2198172E+02,5.000000 ,561.333732,,,,
0.88516267,6.1027216E+02,5.000000 ,561.103644,,,,
0.88679494,5.9899560E+02,5.000000 ,560.87356,,,,
0.88839833,5.8880379E+02,5.000000 ,560.653483,,,,
0.88997498,5.7925697E+02,5.000000 ,560.423412,,,,
0.89152712,5.7068062E+02,5.000000 ,560.203347,,,,
0.89305736,5.6282900E+02,5.000000 ,559.973288,,,,
0.89456626,5.5480093E+02,5.000000 ,559.753228,,,,
0.89605255,5.4601802E+02,5.000000 ,559.523162,,,,
0.89751467,5.3694068E+02,5.000000 ,559.303094,,,,
0.89895148,5.2746299E+02,5.000000 ,559.083023,,,,
0.90036341,5.1847974E+02,5.000000 ,558.852956,,,,
0.90175208,5.1020737E+02,5.000000 ,558.622894,,,,
0.90311827,5.0187936E+02,5.000000 ,558.402831,,,,
0.90446287,4.9413278E+02,5.000000 ,558.172773,,,,
0.90578636,4.8612863E+02,5.000000 ,557.952713,,,,
0.90708793,4.7798643E+02,5.000000 ,557.722651,,,,
0.90836811,4.7041981E+02,5.000000 ,557.502595,,,,
0.90962759,4.6267703E+02,5.000000 ,557.272536,,,,
0.91086739,4.5564700E+02,5.000000 ,557.052483,,,,
0.91208871,4.4912278E+02,5.000000 ,556.822434,,,,
0.91329279,4.4283190E+02,5.000000 ,556.602387,,,,
0.91448039,4.3690584E+02,5.000000 ,556.372342,,,,
0.91565272,4.3160494E+02,5.000000 ,556.152302,,,,
0.91681083,4.2617736E+02,5.000000 ,555.922261,,,,
0.91795362,4.2034052E+02,5.000000 ,555.702217,,,,
0.91907957,4.1358323E+02,5.000000 ,555.472166,,,,
0.92018693,4.0661927E+02,5.000000 ,555.252113,,,,
0.92127486,3.9930574E+02,5.000000 ,555.032059,,,,
0.92234352,3.9238366E+02,5.000000 ,554.802006,,,,
0.92339416,3.8582072E+02,5.000000 ,554.581957,,,,
0.92442802,3.8008926E+02,5.000000 ,554.351913,,,,
0.9254467,3.7453654E+02,5.000000 ,554.121871,,,,
0.92645091,3.6942934E+02,5.000000 ,553.901833,,,,
0.92744185,3.6451634E+02,5.000000 ,553.671795,,,,
0.92841901,3.5932377E+02,5.000000 ,553.451756,,,,
0.92938178,3.5370563E+02,5.000000 ,553.221713,,,,
0.93032938,3.4833427E+02,5.000000 ,553.001673,,,,
0.93126326,3.4343059E+02,5.000000 ,552.781636,,,,
0.9321847,3.3929421E+02,5.000000 ,552.551604,,,,
0.93309611,3.3580076E+02,5.000000 ,552.321577,,,,
0.9339994,3.3340502E+02,5.000000 ,552.101559,,,,
0.93489553,3.3043632E+02,5.000000 ,551.871536,,,,
0.93578346,3.2719704E+02,5.000000 ,551.651511,,,,
0.93666009,3.2121640E+02,5.000000 ,551.431466,,,,
0.93751586,3.1310104E+02,5.000000 ,551.201405,,,,
0.93835263,3.0680036E+02,5.000000 ,550.981357,,,,
0.93917328,3.0090305E+02,5.000000 ,550.751313,,,,
0.93997875,2.9618923E+02,5.000000 ,550.531277,,,,
0.94077413,2.9300717E+02,5.000000 ,550.301253,,,,
0.94156075,2.8966350E+02,5.000000 ,550.071227,,,,
0.94233894,2.8671339E+02,5.000000 ,549.851204,,,,
0.94310879,2.8358813E+02,5.000000 ,549.62118,,,,
0.94387013,2.8021510E+02,5.000000 ,549.401154,,,,
0.94462261,2.7720603E+02,5.000000 ,549.171131,,,,
0.9453672,2.7430163E+02,5.000000 ,548.951109,,,,
0.94610349,2.7105886E+02,5.000000 ,548.721084,,,,
0.94683172,2.6866054E+02,5.000000 ,548.501065,,,,
0.94755404,2.6629913E+02,5.000000 ,548.271047,,,,
0.94826934,2.6344043E+02,5.000000 ,548.051025,,,,
0.94897605,2.6001791E+02,5.000000 ,547.820998,,,,
0.94967239,2.5563583E+02,5.000000 ,547.600965,,,,
0.95035651,2.5100451E+02,5.000000 ,547.38093,,,,
0.95102829,2.4671295E+02,5.000000 ,547.150897,,,,
0.95168893,2.4278682E+02,5.000000 ,546.920868,,,,
0.95233964,2.3929054E+02,5.000000 ,546.700841,,,,
0.95298239,2.3708334E+02,5.000000 ,546.470823,,,,
0.95362025,2.3522917E+02,5.000000 ,546.250809,,,,
0.95425192,2.3276159E+02,5.000000 ,546.02079,,,,
0.9548775,2.3057403E+02,5.000000 ,545.800773,,,,
0.95549569,2.2708533E+02,5.000000 ,545.570746,,,,
0.95610411,2.2381444E+02,5.000000 ,545.350721,,,,
0.95670402,2.2053019E+02,5.000000 ,545.120696,,,,
0.95729538,2.1752408E+02,5.000000 ,544.900672,,,,
0.95787939,2.1533073E+02,5.000000 ,544.670655,,,,
0.95845918,2.1420295E+02,5.000000 ,544.450646,,,,
