X,dXdt,Phi,Temp_K,,,,
0.01547696,7.1768136E+02,5.000000 ,581.364375,,,,
0.01681491,7.7018249E+02,5.000000 ,581.214497,,,,
0.01825915,8.3673073E+02,5.000000 ,581.064652,,,,
0.01983442,9.1327963E+02,5.000000 ,580.914833,,,,
0.02154637,9.8983731E+02,5.000000 ,580.765013,,,,
0.02340004,1.0689776E+03,5.000000 ,580.6152,,,,
0.02539554,1.1479277E+03,5.000000 ,580.465386,,,,
0.02753536,1.2333041E+03,5.000000 ,580.315589,,,,
0.02984271,1.3322445E+03,5.000000 ,580.165824,,,,
0.03233843,1.4419402E+03,5.000000 ,580.016087,,,,
0.0350314,1.5508678E+03,5.000000 ,579.866348,,,,
0.03792402,1.6630188E+03,5.000000 ,579.716617,,,,
0.04102108,1.7781583E+03,5.000000 ,579.566892,,,,
0.04433765,1.9104555E+03,5.000000 ,579.417212,,,,
0.04789838,2.0470016E+03,5.000000 ,579.26754,,,,
0.05171404,2.1950537E+03,5.000000 ,579.117898,,,,
0.05580288,2.3497559E+03,5.000000 ,578.968272,,,,
0.06019126,2.5327339E+03,5.000000 ,578.818716,,,,
0.06492259,2.7239713E+03,5.000000 ,578.66918,,,,
0.07001231,2.9362426E+03,5.000000 ,578.519697,,,,
0.0754918,3.1518590E+03,5.000000 ,578.370221,,,,
0.08138488,3.4015661E+03,5.000000 ,578.22083,,,,
0.08773849,3.6594002E+03,5.000000 ,578.07146,,,,
0.09456542,3.9281190E+03,5.000000 ,577.922115,,,,
0.10188368,4.2036477E+03,5.000000 ,577.772788,,,,
0.10970691,4.4909008E+03,5.000000 ,577.62349,,,,
0.11807441,4.8161626E+03,5.000000 ,577.474287,,,,
0.12703491,5.1391876E+03,5.000000 ,577.325077,,,,
0.13657876,5.4657687E+03,5.000000 ,577.175876,,,,
0.14671289,5.7939725E+03,5.000000 ,577.02668,,,,
0.15743315,6.1165664E+03,5.000000 ,576.877469,,,,
0.1687322,6.4389826E+03,5.000000 ,576.728258,,,,
0.18061714,6.7676573E+03,5.000000 ,576.579063,,,,
0.19309766,7.0968742E+03,5.000000 ,576.429869,,,,
0.20615269,7.4070917E+03,5.000000 ,576.280628,,,,
0.21974133,7.6887096E+03,5.000000 ,576.131315,,,,
0.23382544,7.9582662E+03,5.000000 ,575.981974,,,,
0.24837157,8.2027580E+03,5.000000 ,575.832571,,,,
